,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
0,Kumara Planters wanted,54,AJ & KL de Bruin Ltd,"192 Pouto Road, Dargaville, Dargaville, New Zealand",2022-10-23,Vegetables,Need Staff Now,4,2022-10-25,2022-12-23,$22 plus holiday pay of 8%,"Accommodation, End of season bonuses","We are looking for staff for the Kumara (sweet potato) planting season. No experience is necessary but you must be prepared to work as part of a team. Our farm is conveniently  located 2 km out of Dargaville.  Dargaville is on the west coast, close to Ripiro Beach, Kai Iwi Lakes and the Kaipara Harbour […]"
1,Orchard work,146,Greenland solution limited,"Hastings, New Zealand",2022-10-21,Apples and Pears,Expressions of Interest,50,2022-11-10,2023-01-10,24,Bucket/bin rate bonuses,  We are needing 50 Orchard worker starting from 10/11/2022 Thining apple and picking stone fruit and peach fruit. Workers for seasonal work at a busy apple orchard based hastings and Napier! full training provided this role is perfect for someone looking for some outdoor work over the summer months! previous experience preferred but not […]
2,Seeking staff Nov - Jan 23,155,Western Orchards Ltd,"29 Matahui Road R D 4, Katikati, New Zealand",2022-10-21,Kiwifruit,Expressions of Interest,10,2022-11-01,2023-01-31,$22.75,,We are looking for Staff for the start November until end of January 2023 Must be in New Zealand to apply. If you can help us please contact Jo
3,Vinyard work,116,Greenland solution limited,"Hastings, New Zealand",2022-10-21,Winegrowing,Need Staff Soon,30,2022-10-25,2023-02-24,22.10  -  $23,Bucket/bin rate bonuses,"We are  looking for  vinyard workes can start immediately. Job offer at vinyard: Vine Wire tucking ,Vine debuding ,Planting vine. Hours of work: Monday to Friday 8am – 4.30pm, optional Saturday work What we offer: • Competitive hourly rates • Weekly pay • Immediate start for the right candidate • Consistent hours throughout the season […]"
4,Apple Thinning,127,Marett Horticulture Ltd,"Meeanee, Napier, New Zealand",2022-10-20,Apples and Pears,Need Staff Soon,4,2022-11-14,2022-12-16,$23.50,Accommodation,"We are looking for a small group of eager to earn people to help Thin our Apple crop, We are a family owned business, So we aren’t a big company where your just  number, Hours are 7:30 to 4/4:30  and will be on a per Tree Rate to motivate you to earn better than the […]"
5,Crop Insect Scout / Technician,40,Southern Paprika Ltd,"Warkworth, New Zealand",2022-10-20,Stonefruit (including Cherries),Need Staff Now,1,2022-10-31,2023-10-02,22.50,,"Southern Paprika Limited (SPL) is a leading New Zealand capsicum grower and avocado packer, located in Warkworth. We currently operate 27 hectares of start of the art glasshouses, run a capsicum and an avocado packhouse.   About The Role: This is an exciting new opportunity for someone keen to grow their career in horticulture. The priority […]"
6,Machine Operator / Tractor Driver,30,Harbour Edge Avocados,"Warkworth, New Zealand",2022-10-20,Stonefruit (including Cherries),Need Staff Now,1,2022-10-25,2023-11-01,$25.00 Per Hour,,Harbour Edge Avocados is looking for an experienced Machinery Operator / Tractor Driver to ensure the optimal growth and maintenance of our trees. About the Company: Harbour Edge Avocados is a new development based in Tapora on the Kaipara Harbour. A strong partnership has been formed to convert a 400ha dairy farm into approx. 300ha […]
7,Seasonal Orchard - Blueberry Harvesting,136,T&G Global,"Kerikeri, New Zealand",2022-10-20,Berries,Need Staff Soon,20,2022-11-01,2022-12-16,21.20,Bucket/bin rate bonuses,"T&G Fresh has a vital role to play in providing fresh fruit and vegetables to Kiwis. T&G Kerikeri has an opportunity for you to earn some extra cash leading up to Christmas, so would you like to be part of our seasonal blueberry harvest and pruning crew.   The harvesting of blueberries has a limited window.  […]"
8,Summer Irrigation Work,71,Apatu Farms Limited,"Hawkes Bay, New Zealand",2022-10-20,Vegetables,Need Staff Now,5,2022-10-20,2023-02-24,Competitive hourly rates,,"Apatu Farms is a family-owned Hawkes Bay agribusiness focused on growing quality produce for prominent local and global customers. Want to work outdoors and earn some $$$ over the summer? Right now, we have summer opportunities over the Summer Period with our Irrigation team – gain some agricultural experience, earn money, and work with a […]"
9,Customer Service All Rounders Wanted!,67,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-20,Berries,Need Staff Now,100,2022-10-20,2023-01-15,$22.89 (Including 8% Holiday Pay),,"We are seeking customer service all-rounders to join us on our PYO strawberry farm in Riverhead! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately Mid-January. Remuneration: The Rate is $21.20/hour (+ 8% holiday pay) Duties may include: Operating the till […]"
10,Strawberry Packhouse Superstars Wanted! - Start Immediately,115,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-20,Berries,Need Staff Now,100,2022-10-20,2022-12-24,$22.89/hour (inclusive of 8% Holiday Pay),,"APPLY NOW – START ASAP!! We’re looking for Packhouse superstars to work with us! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately end of December. Accommodation available on a first come first serve basis! Duties may include: Packing Strawberries Carrying […]"
11,Strawberry Pickers Wanted Immediately!,128,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-20,Berries,Need Staff Now,100,2022-10-20,2022-12-24,$22.89/hour (inclusive of 8% Holiday Pay),,"APPLY NOW – START OCTOBER !! We are looking for superstars to join our friendly picking team in Riverhead, West Auckland. Accommodation available – first come first served basis! Location: Riverhead Remuneration: The Rate is $22.89/hour (inclusive of Holiday Pay) Work available from October 2022 Great opportunity for regular work if you are flexible on […]"
12,Vineyard Workers,150,Tantalus Estate,"Waiheke Island, New Zealand",2022-10-19,Winegrowing,Need Staff Now,4,2022-10-20,2023-10-22,$22.00 - $24.00,,"Vineyard Worker We are currently seeking Vineyard Workers to fill a number of positions. The ideal candidates will be motivated, reliable, practical-thinking team players who enjoy varied outdoor tasks on our established Waiheke Island vineyard. Hourly wage $22.00 – $24.00. General Vineyard Duties, include but are not limited to: Help prepare soil, plant vines and […]"
13,Broccoli & Lettuce Harvest,130,Scottfresh,"Spotswood, New Zealand",2022-10-19,Vegetables,Need Staff Now,2,2022-10-25,2023-01-28,$25 per hr (incl holiday pay).,"Accommodation, Transport","Enjoy living and working amongst the foothills of North Canterbury this Spring/Summer.  We are located 90 minutes north of Christchurch and 60 minutes south of Kaikoura (accessible via a short bus trip). Averaging 45 – 55 hours a week, 5-6 days per week with guaranteed minimum hours! Working outdoors (with ocean and mountain views) as part of a team harvesting vegetable crops. All […]"
14,Berries - Pickers Wanted,155,Berry Farms NZ,"Napier, New Zealand",2022-10-19,Berries,Need Staff Now,10,2022-10-26,2023-02-17,22-24,,Looking to earn extra $$ for school /Christmas holidays? Come and join the Berry Farm team this season! NO LADDERS NO HEAVY LIFTING CONTRACT/ PIECEWORK ON THE JOB TRAINING WORK UNDER SHELTER Pickers wanted for our Bay View site: Strawberries Raspberries Blackberries Get in contact today Nga Mihi  
