,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
0,Summer vineyard work,26,Foley Wines Ltd,"Blenheim, New Zealand",2022-10-12,Winegrowing,Need Staff Now,2,2022-10-17,2023-02-15,23.5,,"We are a company-owned vineyard looking for two casual staff members to help with general vineyard duties over the summer. The work will include young vine training, irrigation repairs and wire lifting."
1,Kiwifruit Flower Picker,43,AgFirst Consultants Nelson,"Motueka, New Zealand",2022-10-12,Other,Need Staff Soon,40,2022-11-07,2022-12-04,22.00 + contract rates,,Are you a student who wants to make extra cash before Christmas? Or a backpacker who is between jobs? Then look no further – kiwifruit flower picking is a good opportunity to make good money in a short period of time. Location: Motueka   Employer: Pollen Plus South Island Limited   No. of positions: Up […]
2,Flower Mill Worker – General Labourer - WE PAY LIVING WAGE,16,AgFirst Consultants Nelson,"Motueka, New Zealand",2022-10-12,Other,Need Staff Soon,2,2022-11-11,2022-11-30,23.65,,"Are you a parent, student or retiree who wants to make extra cash before Christmas? Then look no further – kiwifruit flower milling is a good opportunity to make extra cash in a short period of time. Job: Flower Mill Worker – General Labourer   Location: Motueka   Employer: Pollen Plus South Island Limited   […]"
3,Flower Mill Worker – Machinery operator - WE PAY LIVING WAGE,11,AgFirst Consultants Nelson,"Motueka, New Zealand",2022-10-12,Other,Need Staff Soon,2,2022-11-08,2022-11-30,23.65,Flexi rosters,Are you a parent or student who wants to make extra cash before Christmas? Then look no further – kiwifruit flower milling is a good opportunity to make extra cash in a short period of time. Job: Flower Mill Worker – Machinery operator Location: Motueka Employer: Pollen Plus South Island Limited No. of positions: 2 […]
4,Jobs Available Now - Mushroom Pickers Needed,32,Madahar Agriforce Limited,"Pukekawa, New Zealand",2022-10-12,Other,Need Staff Now,10,2022-10-16,2023-10-31,22,"Transport, Flexi rosters","Description Immediate Start – Mushroom Pickers Needed. We are looking to hire workers with an immediate start, to work in the purpose-built Mushroom factory. The facility has a clean and pleasant working environment. The Role includes: Picking mushrooms Indoor work. Attention to detail Full Training is given.  The Opportunity: On-going contract positions available Position start […]"
5,Orchard Hand,38,Apata Group Limited,"Gisborne, New Zealand",2022-10-11,Kiwifruit,Need Staff Now,32,2022-10-10,2022-11-20,$22.75,,"We have orchard hand positions available with no experience needed. Bring a group of friends with you and work together while you stay in Tairawhiti, Gisborne. These positions are available from Monday 10th October 2022. Full-time and school hours are available. You must have a valid work visa to apply. Apply online now at our […]"
6,Summer Vineyard Job,33,E&E Trading Ltd,"Blenheim, New Zealand",2022-10-11,Winegrowing,Need Staff Soon,20,2022-10-31,2022-12-23,$22.1,,"We are a vineyard contracting company based in Blenheim, currently looking for Vineyard Workers for Summer season roughly from 31st October through until 24th December 2022. We have varies of jobs such as bud rubbing, shoot thinning, wire lifting…etc. If you are interested, please get in touch."
7,Customer Service All-Rounders Wanted!,58,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-11,Berries,Need Staff Now,10,2022-10-14,2023-01-15,$22.89 (Including 8% Holiday Pay),,"We are seeking customer service all-rounders to join us on our PYO strawberry farm in Riverhead! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately Mid-January. Remuneration: The Rate is $21.20/hour (+ 8% holiday pay) Duties may include: Operating the till […]"
8,Strawberry Packhouse Superstars Wanted!,60,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-11,Berries,Need Staff Now,10,2022-10-13,2022-12-24,$22.89/hour (inclusive of 8% Holiday Pay),,"APPLY NOW – START ASAP!! We’re looking for Packhouse superstars to work with us! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately end of December. Accommodation available on a first come first serve basis! Duties may include: Packing Strawberries Carrying […]"
9,Strawberry Pickers Wanted!,85,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-11,Berries,Need Staff Now,100,2022-10-13,2022-12-24,$22.89/hour (inclusive of 8% Holiday Pay),,"APPLY NOW – START OCTOBER !! We are looking for superstars to join our friendly picking team in Riverhead, West Auckland. Accommodation available – first come first served basis! Location: Riverhead Remuneration: The Rate is $22.89/hour (inclusive of Holiday Pay) Work available from October 2022 Great opportunity for regular work if you are flexible on […]"
10,FIELD HARVEST HANDS - BROCCOLINI/WATERMELON,70,A S WILCOX & SONS LTD,"58 UNION ROAD, R D 3, PUKEKOHE, New Zealand",2022-10-10,Vegetables,Need Staff Now,6,2022-10-17,2023-04-30,$22.50,Bucket/bin rate bonuses,"Join our Broccolini harvest team.  Based in Pukekohe we are looking for permanent and casual staff.  Great summer holiday roles with an immediate start. Work up to 6 days per week, 6-8 hours per day.  Base hourly rate from $22.50 plus a picking bonus of up to $10 per hour. Excellent working conditions and full […]"
11,ONION PEELING/GRADING,40,A S WILCOX & SONS LTD,"58 UNION ROAD, R D 3, PUKEKOHE, New Zealand",2022-10-10,Vegetables,Need Staff Now,6,2022-10-17,2023-04-30,$23.50 per hour,,Join our great onion peeling team based in Pukekohe.  We prepare onions for fresh consumption to both food service and supermarkets. The roles are based in Pukekohe and we have both permanent and casual roles available. Good working conditions and pay rates.  Immediate start.
12,STONE FRUIT THINNING AND PICKING 2022,199,MHSL,"Napier, New Zealand",2022-10-09,Stonefruit (including Cherries),Expressions of Interest,10,2022-10-11,2022-12-23,23.60,,"We are looking for general/orchard workers to join our team. We have our stone fruit thinning season in September to November and also we will continue to our stone fruit picking from November to mid December. Must be physically fit, must be able to carry a picking bag with weight, must be able to use […]"
13,Broccoli & Lettuce Harvest,158,Scottfresh,"Spotswood, New Zealand",2022-10-09,Vegetables,Need Staff Soon,2,2022-10-25,2023-01-31,$25 per hr (incl holiday pay).,"Accommodation, Transport, Free Wifi","Enjoy living and working amongst the foothills of North Canterbury this Spring/Summer.  We are located 90 minutes north of Christchurch and 60 minutes south of Kaikoura (accessible via a short bus trip). Averaging 45 – 55 hours a week, 5-6 days per week with guaranteed minimum hours! Working outdoors (with ocean and mountain views) as part of a team […]"
14,Harvest team leader/supervisor,64,Cotterell Orchard,"Katikati, New Zealand",2022-10-08,Berries,Need Staff Now,1,2022-10-17,2022-12-20,$24per hour,,"We are a family owned and operated orchard and are looking for someone to help lead our Blueberry harvest team. You will need to be reliable, a great communicator, able to get along with a wide range of different people and be positive and encouraging staff to maximise harvest. Daily tasks will be varied but […]"
15,Machinery Operator,63,Grapeworx Marlborough Ltd,"15 Nolans Road, Grovetown, Grovetown, New Zealand",2022-10-08,Winegrowing,Expressions of Interest,10,2023-03-19,2023-04-30,Dependent on experience,Transport,Harvest 2023 We require 5 harvester drivers and 5 gondola drivers to assist with harvest 2023 in the Marlborough area. We have 1 Pellenc and 2 Gregoire harvesters We expect to start late March and finish late April. Please email your application and include a contact phone number      
16,Horticulture/Viticulture seasonal work,144,Jobloads,"Gisborne, New Zealand",2022-10-07,Other,Need Staff Now,20,2022-10-10,2022-11-30,$22 per hour + 8% holiday pay,Transport,Jobloads is a labour services company based in Gisborne that hires workers aka ‘Jobstars’ on fixed term employment contracts and matches Jobstars with our Client’s seasonal job assignments across a wide range of tasks and industries in NZ. Currently planning or ready to start your working holiday? Start your trip in Gisborne with our team!  […]
17,Packing Shed,184,Woodhaven Gardens,"Levin, New Zealand",2022-10-06,Vegetables,Need Staff Now,10,2022-10-17,2023-08-28,21.20 plus bonus,"Accommodation, Transport, Bucket/bin rate bonuses",Come and join a high energy team – work along to music pumping and people smiling! Flexible hours – long term and part time available.
18,Planters,97,Woodhaven Gardens,"44 Joblins Road Levin 5571, Levin, New Zealand",2022-10-06,Vegetables,Need Staff Now,12,2022-10-17,2023-09-30,21.20 plus bonus (negotiable),"Accommodation, Transport, Free Wifi","Come and join a great team planting up to 15 plus different products – mechanical planters make this a great job if you like to sit and listen to music, podcasts etc while making long lasting friendships.  "
19,Harvesters,142,Woodhaven Gardens,"44 Joblins Road Levin, Levin, New Zealand",2022-10-06,Vegetables,Need Staff Now,20,2022-10-17,2024-01-31,21.20 plus bonus (negotable),"Accommodation, Transport, Free Wifi",Multiple positions across a diverse range of products – from beetroot to zucchini’s. Full buddy supported training given.
20,Vineyard Workers - Seasonal & Permanent,328,Amisfield,"1133 Luggate-Cromwell Road, Mt Pisa, Central Otago 9384, Cromwell, New Zealand",2022-10-05,Winegrowing,Need Staff Now,12,2022-10-10,2022-12-16,$23.65 per hour,,"Located 10 minutes from Cromwell and set against a backdrop of the majestic Pisa mountain range, Amisfield is the largest single estate vineyard in Central Otago.  Having achieved full organic certification in 2021, our philosophy is to nurture nature at every step and yield wines with exceptional purity, intensity and vibrancy. As testimony to our hard […]"
21,Orchard Work $25.4+BONUS,374,El Kiwi Horticulture,"Tepuke, Tauranga, Rotorua, New Zealand",2022-10-05,Kiwifruit,Need Staff Now,30,2022-10-10,2022-12-23,$25.4 incl. holiday pay,Transport,"HIRING STAFF NOW!!!GOOD HOURLY RATE We are hiring staff for Kiwifruit Orchard Work. We have hourly work AVAILABLE FROM NOW. Work includes planting, Thinning, Vine training, Summer Pruning and other summer jobs. Pay rate is $25.4 incl. holiday pay. Contact us for more details or to start ASAP. Unbeatable team atmosphere. Flexible Hours Competitive Hourly rate No experience necessary […]"
22,Cherry Pickers,473,Leaning Rock Cherries Ltd,"Rockview Road, Alexandra, New Zealand",2022-10-05,Stonefruit (including Cherries),Expressions of Interest,150,2022-12-01,2023-01-31,$22.90,"Accommodation, Bucket/bin rate bonuses, Free Wifi","Cherry Picking work available from December 2022 through to the end of January 2023. Grab some friends, have some fun in the sun all while you earn some good money in our beautiful part of NZ. Bonuses available 🙂 Camping ground available 5km from Alexandra"
23,Packhouse Staff,171,Leaning Rock Cherries Ltd,"Rockview Road, Alexandra, New Zealand",2022-10-05,Stonefruit (including Cherries),Expressions of Interest,40,2022-12-01,2023-01-31,$22.90,"Accommodation, Flexi rosters, Free Wifi","Staff required for busy Cherry Packhouse. Variety of jobs available including box making, sorting cherries, coolstore work, packing and palletizing produce. Season runs from December 2022 through to end of January 2023. If you enjoy meeting new people and working in a friendly environment then we are the place for you. Bring your mates along […]"
24,Cherry Picking - Secure your Summer Job Now!!!,397,Gourmet Summerfruit Limited,"44 Kinaston Road, Roxburgh, Roxburgh East, New Zealand",2022-10-05,Stonefruit (including Cherries),Expressions of Interest,80,2022-12-28,2023-02-03,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters","We are a Large Orchard in Roxburgh Central Otago Looking for fit energetic workers wanting to earn good money this summer picking Cherries starting in late December. There’s nothing like a summer harvest in Roxburgh, work hard during the morning, then cool off down by the river after a hard days work. You will need […]"
25,Relief Cook,55,Matakana Berry Co Ltd,"256 Omaha Flats Road, Warkworth, New Zealand",2022-10-05,Berries,Need Staff Now,1,2022-10-10,2022-11-30,"At least $21.20 per hour, negotiable on skill levels and experience.",,We are looking for a Relief Cook for our Farm Kitchen.  One day per week 9.30am to 5.30pm (with one hour for lunch). We require someone local to our area that has the knowledge of cooking for a large group of workers (35).  A food safety certificate would be an advantage but is not essential.  […]
26,Strawberry Gate Sales,91,Matakana Berry Co Ltd,"Warkworth, New Zealand",2022-10-05,Berries,Need Staff Soon,1,2022-10-15,2022-12-04,At least $21.20 per hour (negotiable),eyIxMTgyNjg2MzA3IjoiRG8geW91IGxpdmUgbG9jYWxseSB0byBvdXIgZmFybT8iLCI4NzM2NTU3Mzc2IjoiRG8geW91IGhhdmUgYSBjdXJyZW50IHdvcmsgdmlzYT8iLCI0NTgzNzQyOTUyIjoiQXJlIHlvdSBhIE5ldyBaZWFsYW5kIENpdGl6ZW4gb3IgUmVzaWRlbnQ/In0=,"Matakana Berry Co is located in the Matakana/Omaha area.  We are looking for a “Super Star” to man our Strawberry Kiosk located at our gate! You will need to live local to our farm, be honest and trustworthy and have the ability to make every customer feel special!  This work is Saturdays and Sundays from […]"
27,Strawberry Packers,172,Matakana Berry Co Ltd,"Matakana, New Zealand",2022-10-05,Berries,Need Staff Soon,3,2022-10-10,2022-11-30,$21.20 + HP,eyIyODc5MzUwMjQ0IjoiRG8geW91IGxpdmUgaW4gb3VyIGxvY2FsIGFyZWE/IiwiNjQzNTE2NjIwNCI6IkRvIHlvdSBoYXZlIGEgdmFsaWQgd29yayB2aXNhPyIsIjE3MTA1MDA4NzkiOiJBcmUgeW91IGEgTmV3IFplYWxhbmQgY2l0aXplbiBvciByZXNpZGVudD8ifQ==,Matakana Berry Co is looking for local Strawberry Packers on a Fixed Term Contract until the 30th of November 2022.  We are located in Matakana and would like local people in our area. You will need to fit and healthy as this position involves standing on a moving conveyor line all day.  The week is […]
28,Strawberry Pickers,149,Matakana Berry Co Ltd,"256 Omaha Flats Road, Warkworth, New Zealand",2022-10-05,Berries,Need Staff Soon,5,2022-10-10,2022-11-30,$21.20 + HP guaranteed,eyIxODIxNDk0MjM4IjoiRG8geW91IGxpdmUgaW4gb3VyIGFyZWEgKE1hdGFrYW5hKT8iLCI3ODU3MjI0NzY3IjoiRG8geW91IGhhdmUgYSB2YWxpZCB3b3JrIHZpc2E/IiwiOTA0MTIzMDcwNCI6IkFyZSB5b3UgYSBOZXcgWmVhbGFuZCBDaXRpemVuIG9yIFJlc2lkZW50PyJ9,Matakana Berry Co is looking for local Strawberry Pickers on a Fixed Term Contract until the 30th of November 2022.     We are located in Matakana and would like local people in our area. Contract rates per kg picked apply for this position … the more you pick the more you earn!  You will need […]
29,Hop Plant Training,200,Nelson Hops NZ Limited,"65 Korere-Tophouse Road, Tapawera, New Zealand",2022-10-04,Other,Need Staff Soon,12,2022-10-17,2022-12-02,$24 inc h/p - $50 +,"Accommodation, Transport, Free Wifi",$24 – $50 + per hour inc h/p (contract piece rates) Accommodation available – Free Van Transport to & from work We are requiring motivated people to join our NZ/international team to train this season’s new & mature hop plants. The hop plant is a vine which grows up strings and produces a hop flower which is harvested to bless the beer we […]
30,Kiwifruit Summer Work,189,Oropi Management Services LTD,"Tauranga, New Zealand",2022-10-04,Kiwifruit,Need Staff Now,15,2022-10-10,2023-03-15,23.50,,SUMMER WORK is approaching! Here at Oropi Management Services we have competitive payrates and the convenience of being only 10 minutes from town! WE ARE LOOKING FOR WORKERS WHO ARE: – Reliable – Keen to get outdoors – Hard Working – Can do attitude ADVANTAGES OF WORKING WITH US: – A working environment where you […]
31,Kiwifruit Bud Crushing / Flower Thinning,137,Wai-West Horticulture Ltd,"53 Moutere Highway, RD1, APPLEBY, New Zealand",2022-10-04,Kiwifruit,Need Staff Now,30,2022-10-17,2022-11-18,$22.10,,"Wai-West Horticulture requires kiwifruit bud thinners for our upcoming season. The bud thinning season runs for approximately 4 weeks from 17th October to 18th November, with apple thinning work to follow. If you enjoy working outdoors, are physically fit and think you are suited to this work, we are keen to hear from you. Follow […]"
32,Apple Thinners,171,Waipopo Ltd Partnership,"103 Connolly Road, RD3, Timaru, Timaru, New Zealand",2022-10-04,Apples and Pears,Need Staff Soon,50,2022-11-14,2023-01-31,$22.10,,"At Waipopo Orchards, we love apples but we also understand that the pipfruit business is as much about people as it is a fruit business. We are currently recruiting for apple thinners. The work will begin approx 14 November and run through until approx. the end of January. We don’t require previous experience, just a […]"
33,Forkhoist Driver,54,T&G Global,"Mangere, Auckland, New Zealand",2022-10-04,Other,Need Staff Now,1,2022-10-17,2023-03-17,$23-$24 per hour,,"About us  Here at T&G Global we’re passionate about growing healthier futures. Our story began 125 years ago and today our 2,000 people are located in 13 countries, where we grow, market, sell and distribute high-quality fresh produce to customers in more than 60 countries. Our mindsets are:  Do the Mahi, Be Bold, One Team and […]"
